Species,Trophic.Niche,Realm
Iduna natalensis,Invertivore,Afrotropical
Iduna opaca,Invertivore,Saharo-Arabian
Iduna pallida,Invertivore,Saharo-Arabian
Iduna rama,Invertivore,Palearctic
Iduna similis,Invertivore,Afrotropical
Nesillas brevicaudata,Invertivore,Madagascan
Nesillas lantzii,Invertivore,Madagascan
Nesillas mariae,Invertivore,Madagascan
Nesillas typica,Invertivore,Madagascan
Aegithalos annamensis,Invertivore,Oriental
Aegithalos bonvaloti,Invertivore,Sino-Japanese
Aegithalos caudatus,Invertivore,Palearctic
Aegithalos concinnus,Invertivore,Sino-Japanese
Aegithalos fuliginosus,Invertivore,Sino-Japanese
Aegithalos glaucogularis,Invertivore,Sino-Japanese
Aegithalos iouschistos,Invertivore,Sino-Japanese
Aegithalos iredalei,Invertivore,Sino-Japanese
Aegithalos leucogenys,Invertivore,Saharo-Arabian
Aegithalos niveogularis,Invertivore,Oriental
Leptopoecile elegans,Invertivore,Sino-Japanese
Leptopoecile sophiae,Invertivore,Sino-Japanese
Psaltria exilis,Invertivore,Oriental
Psaltriparus minimus,Invertivore,Nearctic
Aegithina lafresnayei,Invertivore,Oriental
Aegithina nigrolutea,Invertivore,Oriental
Aegithina tiphia,Invertivore,Oriental
Aegithina viridissima,Invertivore,Oriental
Alaemon alaudipes,Invertivore,Saharo-Arabian
Alaemon hamertoni,Invertivore,Afrotropical
Alauda arvensis,Omnivore,Palearctic
Alauda gulgula,Omnivore,Sino-Japanese
Alauda leucoptera,Omnivore,Palearctic
Alauda razae,Omnivore,Afrotropical
Alaudala raytal,Omnivore,Oriental
Alaudala rufescens,Omnivore,Palearctic
Alaudala somalica,Omnivore,Afrotropical
Ammomanes cinctura,Granivore,Saharo-Arabian
Ammomanes deserti,Omnivore,Saharo-Arabian
Ammomanes phoenicura,Omnivore,Oriental
Ammomanopsis grayi,Omnivore,Afrotropical
Calandrella acutirostris,Omnivore,Sino-Japanese
Calandrella blanfordi,Granivore,Afrotropical
Calandrella brachydactyla,Omnivore,Saharo-Arabian
Calandrella cinerea,Granivore,Afrotropical
Calandrella dukhunensis,Omnivore,Palearctic
Calandrella eremica,Granivore,Saharo-Arabian
Calendulauda africanoides,Omnivore,Afrotropical
Calendulauda albescens,Invertivore,Afrotropical
Calendulauda alopex,Omnivore,Afrotropical
Calendulauda burra,Omnivore,Afrotropical
Calendulauda erythrochlamys,Omnivore,Afrotropical
Calendulauda poecilosterna,Invertivore,Afrotropical
Calendulauda sabota,Granivore,Afrotropical
Certhilauda chuana,Omnivore,Afrotropical
Certhilauda curvirostris,Invertivore,Afrotropical
Certhilauda semitorquata,Invertivore,Afrotropical
Certhilauda subcoronata,Omnivore,Afrotropical
Chersomanes albofasciata,Invertivore,Afrotropical
Chersophilus duponti,Omnivore,Saharo-Arabian
Eremalauda dunni,Granivore,Afrotropical
Eremalauda eremodites,Granivore,Saharo-Arabian
Eremophila alpestris,Omnivore,Saharo-Arabian
Eremophila bilopha,Granivore,Saharo-Arabian
Eremopterix australis,Granivore,Afrotropical
Eremopterix griseus,Granivore,Oriental
Eremopterix hova,Omnivore,Madagascan
Eremopterix leucopareia,Granivore,Afrotropical
Eremopterix leucotis,Granivore,Afrotropical
Eremopterix nigriceps,Granivore,Afrotropical
Eremopterix signatus,Granivore,Afrotropical
Eremopterix verticalis,Granivore,Afrotropical
Galerida cristata,Omnivore,Saharo-Arabian
Galerida deva,Omnivore,Oriental
Galerida magnirostris,Omnivore,Afrotropical
Galerida malabarica,Omnivore,Oriental
Galerida modesta,Omnivore,Afrotropical
Galerida theklae,Omnivore,Saharo-Arabian
Heteromirafra archeri,Omnivore,Afrotropical
Heteromirafra ruddi,Omnivore,Afrotropical
Lullula arborea,Omnivore,Palearctic
Melanocorypha bimaculata,Omnivore,Palearctic
Melanocorypha calandra,Omnivore,Saharo-Arabian
Melanocorypha maxima,Omnivore,Sino-Japanese
Melanocorypha mongolica,Omnivore,Palearctic
Melanocorypha yeltoniensis,Omnivore,Palearctic
Mirafra affinis,Omnivore,Oriental
Mirafra africana,Invertivore,Afrotropical
Mirafra albicauda,Omnivore,Afrotropical
Mirafra angolensis,Omnivore,Afrotropical
Mirafra apiata,Invertivore,Afrotropical
Mirafra ashi,Omnivore,Afrotropical
Mirafra assamica,Omnivore,Sino-Japanese
Mirafra cheniana,Granivore,Afrotropical
Mirafra collaris,Invertivore,Afrotropical
Mirafra cordofanica,Omnivore,Afrotropical
Mirafra erythrocephala,Omnivore,Oriental
Mirafra erythroptera,Omnivore,Oriental
Mirafra fasciolata,Invertivore,Afrotropical
Mirafra gilletti,Omnivore,Afrotropical
Mirafra hypermetra,Invertivore,Afrotropical
Mirafra javanica,Omnivore,Oriental
Mirafra microptera,Omnivore,Oriental
Mirafra passerina,Invertivore,Afrotropical
Mirafra pulpa,Granivore,Afrotropical
Mirafra rufa,Omnivore,Afrotropical
Mirafra rufocinnamomea,Invertivore,Afrotropical
Mirafra sharpii,Invertivore,Afrotropical
Mirafra somalica,Omnivore,Afrotropical
Mirafra williamsi,Omnivore,Afrotropical
Pinarocorys erythropygia,Invertivore,Afrotropical
Pinarocorys nigricans,Invertivore,Afrotropical
Ramphocoris clotbey,Omnivore,Saharo-Arabian
Spizocorys conirostris,Granivore,Afrotropical
Spizocorys fremantlii,Granivore,Afrotropical
Spizocorys fringillaris,Omnivore,Afrotropical
Spizocorys obbiensis,Invertivore,Afrotropical
Spizocorys personata,Granivore,Afrotropical
Spizocorys sclateri,Granivore,Afrotropical
Spizocorys starki,Granivore,Afrotropical
Artamus cinereus,Invertivore,Australian
Artamus cyanopterus,Invertivore,Australian
Artamus fuscus,Invertivore,Oriental
Artamus insignis,Invertivore,Oceanian
Artamus leucoryn,Invertivore,Australian
Artamus maximus,Invertivore,Oceanian
Artamus mentalis,Invertivore,Oceanian
Artamus minor,Invertivore,Australian
Artamus monachus,Invertivore,Oriental
Artamus personatus,Invertivore,Australian
Artamus superciliosus,Invertivore,Australian
Cracticus argenteus,Omnivore,Australian
Cracticus cassicus,Invertivore,Oceanian
Cracticus louisiadensis,Invertivore,Oceanian
Cracticus mentalis,Invertivore,Oceanian
Cracticus nigrogularis,Omnivore,Australian
Cracticus torquatus,Omnivore,Australian
Gymnorhina tibicen,Invertivore,Australian
Melloria quoyi,Omnivore,Oceanian
Peltops blainvillii,Invertivore,Oceanian
Peltops montanus,Invertivore,Oceanian
Strepera fuliginosa,Omnivore,Australian
Strepera graculina,Omnivore,Australian
Strepera versicolor,Omnivore,Australian
Atrichornis clamosus,Invertivore,Australian
Atrichornis rufescens,Invertivore,Australian
Bernieria madagascariensis,Invertivore,Madagascan
Crossleyia tenebrosa,Invertivore,Madagascan
Crossleyia xanthophrys,Invertivore,Madagascan
Cryptosylvicola randrianasoloi,Invertivore,Madagascan
Hartertula flavoviridis,Invertivore,Madagascan
Oxylabes madagascariensis,Invertivore,Madagascan
Randia pseudozosterops,Invertivore,Madagascan
Thamnornis chloropetoides,Invertivore,Madagascan
Xanthomixis apperti,Invertivore,Madagascan
Xanthomixis cinereiceps,Invertivore,Madagascan
Xanthomixis zosterops,Invertivore,Madagascan
Bombycilla cedrorum,Frugivore,Nearctic
Bombycilla garrulus,Omnivore,Palearctic
Bombycilla japonica,Frugivore,Palearctic
Buphagus africanus,Invertivore,Afrotropical
Buphagus erythrorynchus,Invertivore,Afrotropical
Calcarius lapponicus,Granivore,Palearctic
Calcarius ornatus,Granivore,Nearctic
Calcarius pictus,Granivore,Nearctic
Plectrophenax hyperboreus,Granivore,Palearctic
Plectrophenax nivalis,Granivore,Palearctic
Rhynchophanes mccownii,Granivore,Nearctic
Callaeas cinereus,Omnivore,NA
Callaeas wilsoni,Omnivore,Australian
Philesturnus carunculatus,Invertivore,Australian
Philesturnus rufusater,Invertivore,Australian
Calyptomena hosii,Frugivore,Oriental
Calyptomena viridis,Frugivore,Oriental
Calyptomena whiteheadi,Frugivore,Oriental
Smithornis capensis,Invertivore,Afrotropical
Smithornis rufolateralis,Invertivore,Afrotropical
Smithornis sharpei,Invertivore,Afrotropical
Calyptophilus frugivorus,Invertivore,Neotropical
Calyptophilus tertius,Invertivore,Neotropical
Campephaga flava,Invertivore,Afrotropical
Campephaga petiti,Invertivore,Afrotropical
Campephaga phoenicea,Invertivore,Afrotropical
Campephaga quiscalina,Invertivore,Afrotropical
Campochaera sloetii,Frugivore,Oceanian
Ceblepyris caesius,Invertivore,Afrotropical
Ceblepyris cinereus,Invertivore,Madagascan
Ceblepyris cucullatus,Invertivore,Madagascan
Ceblepyris graueri,Invertivore,Afrotropical
Ceblepyris pectoralis,Invertivore,Afrotropical
Celebesica abbotti,Invertivore,Oriental
Coracina atriceps,Invertivore,Oceanian
Coracina bicolor,Invertivore,Oriental
Coracina boyeri,Frugivore,Oceanian
Coracina caeruleogrisea,Invertivore,Oceanian
Coracina caledonica,Invertivore,Oceanian
Coracina dobsoni,Invertivore,Oriental
Coracina dobsoni,Invertivore,Oriental
Coracina dobsoni,Invertivore,Oriental
Coracina fortis,Invertivore,Oceanian
Coracina javensis,Invertivore,Oriental
Coracina larvata,Invertivore,Oriental
Coracina leucopygia,Invertivore,Oriental
Coracina lineata,Frugivore,Oceanian
Coracina longicauda,Invertivore,Oceanian
Coracina macei,Invertivore,Oriental
Coracina maxima,Invertivore,Australian
Coracina novaehollandiae,Invertivore,Australian
Coracina panayensis,Invertivore,Oceanian
Coracina panayensis,Invertivore,Oceanian
Coracina panayensis,Invertivore,Oceanian
Coracina papuensis,Invertivore,Australian
Coracina personata,Invertivore,Oceanian
Coracina schistacea,Omnivore,Oceanian
Coracina striata,Invertivore,Oriental
Coracina temminckii,Invertivore,Oriental
Coracina welchmani,Invertivore,Oceanian
Cyanograucalus azureus,Invertivore,Afrotropical
Edolisoma anale,Invertivore,Oceanian
Edolisoma ceramense,Invertivore,Oceanian
Edolisoma coerulescens,Invertivore,Oriental
Edolisoma dispar,Invertivore,Oceanian
Edolisoma dohertyi,Invertivore,Oceanian
Edolisoma grayi,Invertivore,Oceanian
Edolisoma holopolium,Invertivore,Oceanian
Edolisoma incertum,Invertivore,Oceanian
Edolisoma insperatum,Invertivore,Oceanian
Edolisoma melas,Invertivore,Oceanian
Edolisoma meyerii,Invertivore,Oceanian
Edolisoma mindanense,Invertivore,Oceanian
Edolisoma monacha,Invertivore,Oceanian
Edolisoma montanum,Frugivore,Oceanian
Edolisoma morio,Invertivore,Oriental
Edolisoma nesiotis,Invertivore,Oceanian
Edolisoma nesiotis,Invertivore,Oceanian
Edolisoma nesiotis,Invertivore,Oceanian
Edolisoma nesiotis,Invertivore,Oceanian
Edolisoma obiense,Invertivore,Oceanian
Edolisoma ostentum,Invertivore,Oceanian
Edolisoma ostentum,Invertivore,Oceanian
Edolisoma ostentum,Invertivore,Oceanian
Edolisoma ostentum,Invertivore,Oceanian
Edolisoma ostentum,Invertivore,Oceanian
Edolisoma ostentum,Invertivore,Oceanian
Edolisoma ostentum,Invertivore,Oceanian
Edolisoma ostentum,Invertivore,Oceanian
Edolisoma parvulum,Invertivore,Oceanian
Edolisoma pygmaeum,Invertivore,Oceanian
Edolisoma remotum,Invertivore,Oceanian
Edolisoma rostratum,Invertivore,Oceanian
Edolisoma salomonis,Invertivore,Oceanian
Edolisoma schisticeps,Frugivore,Oceanian
Edolisoma sula,Invertivore,Oceanian
Edolisoma sula,Invertivore,Oceanian
Edolisoma sula,Invertivore,Oceanian
Edolisoma tenuirostre,Invertivore,Australian
Lalage atrovirens,Frugivore,Oceanian
Lalage aurea,Invertivore,Oceanian
Lalage conjuncta,Invertivore,Oceanian
Lalage fimbriata,Invertivore,Oriental
Lalage fimbriata,Invertivore,Oriental
Lalage leucomela,Invertivore,Australian
Lalage leucoptera,Frugivore,Oceanian
Lalage leucopyga,Invertivore,Oceanian
Lalage leucopygialis,Invertivore,Oriental
Lalage maculosa,Invertivore,Australian
Lalage melanoleuca,Invertivore,Oriental
Lalage melanoptera,Invertivore,Oriental
Lalage melaschistos,Invertivore,Sino-Japanese
Lalage minor,Invertivore,Oriental
Lalage moesta,Frugivore,Oriental
Lalage newtoni,Invertivore,Oceanian
Lalage nigra,Invertivore,Oriental
Lalage polioptera,Invertivore,Oriental
Lalage sharpei,Invertivore,Oceanian
Lalage sharpei,Invertivore,Oceanian
Lalage sharpei,Invertivore,Oceanian
Lalage sharpei,Invertivore,Oceanian
Lalage sueurii,Invertivore,Oriental
Lalage tricolor,Invertivore,Australian
Lalage typica,Invertivore,Oceanian
Lobotos lobatus,Invertivore,Afrotropical
Lobotos oriolinus,Invertivore,Afrotropical
Malindangia mcgregori,Invertivore,Oriental
Pericrocotus albifrons,Invertivore,Oriental
Pericrocotus brevirostris,Invertivore,Oriental
Pericrocotus cantonensis,Invertivore,Sino-Japanese
Pericrocotus cinnamomeus,Invertivore,Oriental
Pericrocotus divaricatus,Invertivore,Palearctic
Pericrocotus erythropygius,Invertivore,Oriental
Pericrocotus ethologus,Invertivore,Sino-Japanese
Pericrocotus flammeus,Invertivore,Oriental
Pericrocotus igneus,Invertivore,Oriental
Pericrocotus lansbergei,Invertivore,Oceanian
Pericrocotus miniatus,Invertivore,Oriental
Pericrocotus montanus,Invertivore,Oriental
Pericrocotus roseus,Invertivore,Oriental
Pericrocotus solaris,Invertivore,Oriental
Pericrocotus tegimae,Invertivore,Sino-Japanese
Amaurospiza moesta,Granivore,Neotropical
Amaurospiza relicta,Granivore,Nearctic
Cardinalis cardinalis,Omnivore,Nearctic
Cardinalis phoeniceus,Omnivore,Neotropical
Cardinalis sinuatus,Omnivore,Nearctic
Caryothraustes canadensis,Omnivore,Neotropical
Caryothraustes celaeno,Omnivore,Nearctic
Caryothraustes erythromelas,Omnivore,Neotropical
Caryothraustes poliogaster,Frugivore,Neotropical
Cyanocompsa parellina,Frugivore,Neotropical
Cyanoloxia brissonii,Frugivore,Neotropical
Cyanoloxia cyanoides,Granivore,Neotropical
Cyanoloxia glaucocaerulea,Omnivore,Neotropical
Cyanoloxia rothschildii,Granivore,Neotropical
Granatellus francescae,Invertivore,Nearctic
Granatellus paraensis,Invertivore,Neotropical
Granatellus pelzelni,Invertivore,Neotropical
Granatellus sallaei,Invertivore,Neotropical
Granatellus venustus,Invertivore,Nearctic
Habia atrimaxillaris,Invertivore,Neotropical
Habia carmioli,Invertivore,Neotropical
Habia cristata,Invertivore,Neotropical
Habia frenata,Invertivore,Neotropical
Habia fuscicauda,Invertivore,Neotropical
Habia gutturalis,Invertivore,Neotropical
Habia olivacea,Invertivore,Neotropical
Habia rubica,Invertivore,Neotropical
Habia stolzmanni,Frugivore,Neotropical
Passerina amoena,Omnivore,Nearctic
Passerina caerulea,Invertivore,Nearctic
Passerina ciris,Granivore,Nearctic
Passerina cyanea,Granivore,Nearctic
Passerina leclancherii,Granivore,Nearctic
Passerina rositae,Granivore,Neotropical
Passerina versicolor,Omnivore,Nearctic
Pheucticus aureoventris,Omnivore,Neotropical
Pheucticus chrysogaster,Omnivore,Neotropical
Pheucticus chrysopeplus,Frugivore,Nearctic
Pheucticus ludovicianus,Omnivore,Nearctic
Pheucticus melanocephalus,Invertivore,Nearctic
Pheucticus tibialis,Omnivore,Neotropical
Piranga bidentata,Invertivore,Nearctic
Piranga erythrocephala,Omnivore,Nearctic
Piranga flava,Invertivore,Neotropical
Piranga hepatica,Invertivore,Neotropical
Piranga leucoptera,Frugivore,Neotropical
Piranga ludoviciana,Invertivore,Nearctic
Piranga olivacea,Invertivore,Nearctic
Piranga roseogularis,Invertivore,Neotropical
Piranga rubra,Invertivore,Nearctic
Piranga rubriceps,Invertivore,Neotropical
Spiza americana,Omnivore,Nearctic
Certhia americana,Invertivore,Nearctic
Certhia brachydactyla,Invertivore,Palearctic
Certhia discolor,Invertivore,Sino-Japanese
Certhia familiaris,Invertivore,Palearctic
Certhia himalayana,Invertivore,Sino-Japanese
Certhia hodgsoni,Invertivore,Sino-Japanese
Certhia manipurensis,Invertivore,Oriental
Certhia nipalensis,Invertivore,Sino-Japanese
Certhia tianquanensis,Invertivore,Sino-Japanese
Chaetops aurantius,Invertivore,Afrotropical
Chaetops frenatus,Invertivore,Afrotropical
Chloropsis aurifrons,Omnivore,Oriental
Chloropsis cochinchinensis,Omnivore,Oriental
Chloropsis cyanopogon,Omnivore,Oriental
Chloropsis flavipennis,Omnivore,Oriental
Chloropsis hardwickii,Omnivore,Oriental
Chloropsis jerdoni,Omnivore,Oriental
Chloropsis kinabaluensis,Omnivore,Oriental
Chloropsis lazulina,Omnivore,Oriental
Chloropsis media,Omnivore,Oriental
Chloropsis moluccensis,Omnivore,Oriental
Chloropsis palawanensis,Omnivore,Oriental
Chloropsis sonnerati,Omnivore,Oriental
Chloropsis venusta,Omnivore,Oriental
Cinclus cinclus,Aquatic predator,Palearctic
Cinclus leucocephalus,Aquatic predator,Neotropical
Cinclus mexicanus,Aquatic predator,Nearctic
Cinclus pallasii,Aquatic predator,Sino-Japanese
Cinclus schulzii,Aquatic predator,Neotropical
Cinclosoma ajax,Invertivore,Oceanian
Cinclosoma alisteri,Invertivore,Australian
Cinclosoma castaneothorax,Invertivore,Australian
Cinclosoma castanotum,Invertivore,Australian
Cinclosoma cinnamomeum,Invertivore,Australian
Cinclosoma marginatum,Invertivore,Australian
Cinclosoma punctatum,Invertivore,Australian
Ptilorrhoa caerulescens,Invertivore,Oceanian
Ptilorrhoa castanonota,Invertivore,Oceanian
Ptilorrhoa geislerorum,Invertivore,Oceanian
Ptilorrhoa leucosticta,Invertivore,Oceanian
Apalis alticola,Invertivore,Afrotropical
Apalis argentea,Invertivore,Afrotropical
Apalis bamendae,Invertivore,Afrotropical
Apalis binotata,Invertivore,Afrotropical
Apalis chapini,Invertivore,Afrotropical
Apalis chariessa,Invertivore,Afrotropical
Apalis chirindensis,Invertivore,Afrotropical
Apalis cinerea,Invertivore,Afrotropical
Apalis flavida,Invertivore,Afrotropical
Apalis flavigularis,Invertivore,Afrotropical
Apalis flavocincta,Invertivore,Afrotropical
Apalis fuscigularis,Invertivore,Afrotropical
Apalis goslingi,Invertivore,Afrotropical
Apalis jacksoni,Invertivore,Afrotropical
Apalis kaboboensis,Invertivore,Afrotropical
Apalis karamojae,Invertivore,Afrotropical
Apalis lynesi,Invertivore,Afrotropical
Apalis melanocephala,Invertivore,Afrotropical
Apalis nigriceps,Invertivore,Afrotropical
Apalis personata,Invertivore,Afrotropical
Apalis porphyrolaema,Invertivore,Afrotropical
Apalis ruddi,Invertivore,Afrotropical
Apalis rufogularis,Invertivore,Afrotropical
Apalis sharpii,Invertivore,Afrotropical
Apalis thoracica,Invertivore,Afrotropical
Artisornis metopias,Invertivore,Afrotropical
Artisornis moreaui,Invertivore,Afrotropical
Artisornis sousae,Invertivore,Afrotropical
Bathmocercus cerviniventris,Invertivore,Afrotropical
Bathmocercus rufus,Invertivore,Afrotropical
Calamonastes fasciolatus,Invertivore,Afrotropical
Calamonastes simplex,Invertivore,Afrotropical
Calamonastes stierlingi,Invertivore,Afrotropical
Calamonastes undosus,Invertivore,Afrotropical
Camaroptera brachyura,Invertivore,Afrotropical
Camaroptera chloronota,Invertivore,Afrotropical
Camaroptera harterti,Invertivore,Afrotropical
Camaroptera superciliaris,Invertivore,Afrotropical
Camaroptera toroensis,Invertivore,Afrotropical
Cisticola aberdare,Invertivore,Afrotropical
Cisticola aberrans,Invertivore,Afrotropical
Cisticola angusticauda,Invertivore,Afrotropical
Cisticola anonymus,Invertivore,Afrotropical
Cisticola aridulus,Invertivore,Afrotropical
Cisticola ayresii,Invertivore,Afrotropical
Cisticola bailunduensis,Invertivore,Afrotropical
Cisticola bodessa,Invertivore,Afrotropical
Cisticola brachypterus,Invertivore,Afrotropical
Cisticola brunnescens,Invertivore,Afrotropical
Cisticola bulliens,Invertivore,Afrotropical
Cisticola cantans,Invertivore,Afrotropical
Cisticola carruthersi,Invertivore,Afrotropical
Cisticola cherina,Invertivore,Madagascan
Cisticola chiniana,Invertivore,Afrotropical
Cisticola chubbi,Invertivore,Afrotropical
Cisticola cinereolus,Invertivore,Afrotropical
Cisticola cinnamomeus,Invertivore,Afrotropical
Cisticola dambo,Invertivore,Afrotropical
Cisticola erythrops,Invertivore,Afrotropical
Cisticola exilis,Invertivore,Oriental
Cisticola eximius,Invertivore,Afrotropical
Cisticola fulvicapilla,Invertivore,Afrotropical
Cisticola galactotes,Invertivore,Afrotropical
Cisticola guinea,Invertivore,Afrotropical
Cisticola haematocephalus,Invertivore,Madagascan
Cisticola haesitatus,Invertivore,Afrotropical
Cisticola hunteri,Invertivore,Afrotropical
Cisticola juncidis,Invertivore,Oriental
Cisticola lais,Invertivore,Afrotropical
Cisticola lateralis,Invertivore,Afrotropical
Cisticola luapula,Invertivore,Afrotropical
Cisticola lugubris,Invertivore,Afrotropical
Cisticola marginatus,Invertivore,Afrotropical
Cisticola melanurus,Invertivore,Afrotropical
Cisticola nana,Invertivore,Afrotropical
Cisticola natalensis,Invertivore,Afrotropical
Cisticola nigriloris,Invertivore,Afrotropical
Cisticola njombe,Invertivore,Afrotropical
Cisticola pipiens,Invertivore,Afrotropical
Cisticola restrictus,Invertivore,Afrotropical
Cisticola robustus,Invertivore,Afrotropical
Cisticola ruficeps,Invertivore,Afrotropical
Cisticola rufilatus,Invertivore,Afrotropical
Cisticola rufus,Invertivore,Afrotropical
Cisticola subruficapilla,Invertivore,Afrotropical
Cisticola textrix,Invertivore,Afrotropical
Cisticola tinniens,Invertivore,Afrotropical
Cisticola troglodytes,Invertivore,Afrotropical
Cisticola woosnami,Invertivore,Afrotropical
Drymocichla incana,Invertivore,Afrotropical
Eminia lepida,Invertivore,Afrotropical
Eremomela atricollis,Invertivore,Afrotropical
Eremomela badiceps,Invertivore,Afrotropical
Eremomela canescens,Invertivore,Afrotropical
Eremomela flavicrissalis,Invertivore,Afrotropical
Eremomela gregalis,Invertivore,Afrotropical
Eremomela icteropygialis,Invertivore,Afrotropical
Eremomela pusilla,Invertivore,Afrotropical
Eremomela scotops,Invertivore,Afrotropical
Eremomela turneri,Invertivore,Afrotropical
Eremomela usticollis,Invertivore,Afrotropical
Euryptila subcinnamomea,Invertivore,Afrotropical
Hypergerus atriceps,Invertivore,Afrotropical
Incana incana,Invertivore,Afrotropical
Malcorus pectoralis,Invertivore,Afrotropical
Micromacronus leytensis,Invertivore,Oriental
Micromacronus sordidus,Invertivore,Oriental
Neomixis pallidior,Invertivore,Madagascan
Neomixis striatigula,Invertivore,Madagascan
Neomixis tenella,Invertivore,Madagascan
Neomixis viridis,Invertivore,Madagascan
Oreolais pulcher,Invertivore,Afrotropical
Oreolais ruwenzorii,Invertivore,Afrotropical
Oreophilais robertsi,Invertivore,Afrotropical
Orthotomus atrogularis,Invertivore,Oriental
Orthotomus castaneiceps,Invertivore,Oriental
Orthotomus chaktomuk,Invertivore,Oriental
Orthotomus chloronotus,Invertivore,Oriental
Orthotomus cinereiceps,Invertivore,Oriental
Orthotomus derbianus,Invertivore,Oriental
Orthotomus frontalis,Invertivore,Oriental
Orthotomus nigriceps,Invertivore,Oriental
Orthotomus ruficeps,Invertivore,Oriental
Orthotomus samarensis,Invertivore,Oriental
Orthotomus sepium,Invertivore,Oriental
Orthotomus sericeus,Invertivore,Oriental
Orthotomus sutorius,Invertivore,Oriental
Phragmacia substriata,Invertivore,Afrotropical
Phyllolais pulchella,Invertivore,Afrotropical
Poliolais lopezi,Invertivore,Afrotropical
Prinia atrogularis,Invertivore,Oriental
Prinia bairdii,Invertivore,Afrotropical
Prinia buchanani,Invertivore,Oriental
Prinia cinereocapilla,Invertivore,Oriental
Prinia crinigera,Invertivore,Sino-Japanese
Prinia erythroptera,Invertivore,Afrotropical
Prinia familiaris,Invertivore,Oriental
Prinia flavicans,Invertivore,Afrotropical
Prinia flaviventris,Invertivore,Oriental
Prinia fluviatilis,Invertivore,Afrotropical
Prinia gracilis,Invertivore,Saharo-Arabian
Prinia hodgsonii,Invertivore,Oriental
Prinia hypoxantha,Invertivore,Afrotropical
Prinia inornata,Invertivore,Oriental
Prinia khasiana,Invertivore,Oriental
Prinia maculosa,Invertivore,Afrotropical
Prinia molleri,Invertivore,Afrotropical
Prinia polychroa,Invertivore,Oriental
Prinia rufescens,Invertivore,Oriental
Prinia rufifrons,Invertivore,Afrotropical
Prinia socialis,Invertivore,Oriental
Prinia somalica,Invertivore,Afrotropical
Prinia sonitans,Invertivore,Sino-Japanese
Prinia subflava,Invertivore,Afrotropical
Prinia superciliaris,Invertivore,Oriental
Prinia sylvatica,Invertivore,Oriental
Scepomycter winifredae,Invertivore,Afrotropical
Schistolais leontica,Invertivore,Afrotropical
Schistolais leucopogon,Invertivore,Afrotropical
Spiloptila clamans,Invertivore,Afrotropical
Urolais epichlorus,Invertivore,Afrotropical
Climacteris affinis,Invertivore,Australian
Climacteris erythrops,Invertivore,Australian
Climacteris melanurus,Invertivore,Australian
Climacteris picumnus,Invertivore,Australian
Climacteris rufus,Invertivore,Australian
Cormobates leucophaea,Invertivore,Australian
Cormobates placens,Invertivore,Oceanian
Cnemophilus loriae,Frugivore,Oceanian
Cnemophilus macgregorii,Frugivore,Oceanian
Cnemophilus sanguineus,Frugivore,Oceanian
Loboparadisea sericea,Frugivore,Oceanian
Conopophaga ardesiaca,Invertivore,Neotropical
Conopophaga aurita,Invertivore,Neotropical
Conopophaga castaneiceps,Invertivore,Neotropical
Conopophaga cearae,Invertivore,Neotropical
Conopophaga lineata,Invertivore,Neotropical
Conopophaga melanogaster,Invertivore,Neotropical
Conopophaga melanops,Invertivore,Neotropical
Conopophaga peruviana,Invertivore,Neotropical
Conopophaga roberti,Invertivore,Neotropical
Conopophaga snethlageae,Invertivore,Neotropical
Pittasoma michleri,Invertivore,Neotropical
Pittasoma rufopileatum,Invertivore,Neotropical
Corcorax melanorhamphos,Omnivore,Australian
Struthidea cinerea,Omnivore,Australian
Aphelocoma californica,Omnivore,Nearctic
Aphelocoma coerulescens,Omnivore,Nearctic
Aphelocoma ultramarina,Omnivore,Nearctic
Aphelocoma unicolor,Omnivore,Neotropical
Aphelocoma wollweberi,Omnivore,Nearctic
Cissa chinensis,Omnivore,Oriental
Cissa hypoleuca,Omnivore,Sino-Japanese
Cissa jefferyi,Invertivore,Oriental
Cissa thalassina,Invertivore,Oriental
Corvus albicollis,Omnivore,Afrotropical
Corvus albus,Omnivore,Afrotropical
Corvus bennetti,Omnivore,Australian
Corvus brachyrhynchos,Omnivore,Nearctic
Corvus capensis,Omnivore,Afrotropical
Corvus caurinus,Omnivore,Nearctic
Corvus corax,Omnivore,Saharo-Arabian
Corvus corone,Omnivore,Palearctic
Corvus coronoides,Omnivore,Australian
Corvus crassirostris,Omnivore,Afrotropical
Corvus cryptoleucus,Omnivore,Nearctic
Corvus dauuricus,Omnivore,Palearctic
Corvus edithae,Omnivore,Afrotropical
Corvus enca,Omnivore,Oriental
Corvus florensis,Omnivore,Oriental
Corvus frugilegus,Omnivore,Palearctic
Corvus fuscicapillus,Frugivore,Oceanian
Corvus hawaiiensis,Omnivore,NA
Corvus imparatus,Omnivore,Nearctic
Corvus insularis,Omnivore,Oceanian
Corvus jamaicensis,Omnivore,Neotropical
Corvus kubaryi,Omnivore,Oceanian
Corvus leucognaphalus,Omnivore,Neotropical
Corvus macrorhynchos,Omnivore,Sino-Japanese
Corvus meeki,Omnivore,Oceanian
Corvus mellori,Omnivore,Australian
Corvus monedula,Omnivore,Palearctic
Corvus moneduloides,Omnivore,Oceanian
Corvus nasicus,Omnivore,Neotropical
Corvus orru,Omnivore,Australian
Corvus ossifragus,Omnivore,Nearctic
Corvus palmarum,Omnivore,Neotropical
Corvus pectoralis,Omnivore,Sino-Japanese
